ticker,portfolio,fill_date,shares,entry_price,sector,xgb_score,xgb_rank,ge_score,ge_rank,cb_score,cb_rank,lgb_score,lgb_rank,ensemble_score,ensemble_rank,ensemble_cb_score,ensemble_cb_rank
SNDK,ensemble,2026-04-30,69.392864,1111.14,Unknown,100.0,1,99.601593625498,3,93.22709163346612,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
TER,ensemble,2026-04-30,235.79568,327.0,Unknown,99.800796812749,2,98.80478087649402,7,95.81673306772907,22,100.0,1,99.601593625498,2,98.80478087649402,2
FIX,ensemble,2026-04-30,44.823385,1720.2,Unknown,99.402390438247,4,99.00398406374502,6,89.44223107569721,54,99.402390438247,4,99.32270916334662,3,97.33067729083665,5
PLTR,ensemble,2026-04-30,556.816663,138.475,Unknown,99.20318725099602,5,99.20318725099602,5,99.800796812749,2,92.03187250996017,41,99.20318725099604,4,99.32270916334662,1
WDC,ensemble,2026-04-30,180.51925,427.13,Unknown,98.60557768924303,8,98.20717131474105,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
ANET,ensemble,2026-04-30,464.209437,166.1,Unknown,98.80478087649402,7,96.41434262948208,19,97.41035856573706,14,86.05577689243027,71,98.32669322709164,6,98.04780876494024,4
NVDA,ensemble,2026-04-30,367.274244,209.939,Unknown,97.80876494023904,12,99.800796812749,2,84.4621513944223,79,55.87649402390438,224,98.20717131474105,7,95.5378486055777,14
LRCX,ensemble,2026-04-30,305.609146,252.3,Unknown,98.00796812749005,11,98.60557768924303,8,92.82868525896414,37,91.63346613545816,43,98.12749003984064,8,97.09163346613543,6
MU,ensemble,2026-04-30,145.552889,529.74,Unknown,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258964,9,96.05577689243027,12
HAS,ensemble,2026-04-30,820.791861,93.94,Unknown,98.20717131474105,10,95.2191235059761,25,89.2430278884462,55,73.10756972111554,136,97.60956175298806,10,95.81673306772907,13
